"","GeneSymbol","Mix1","Mix2","Mix3","Mix4","Mix5","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"1","ACP5",1045.560791,1250.323739,1919.91837,1148.432534,3095.048627,605.8973843,1935.201479,1120.104684,306.3125193,744.6565995,557.8198203,248.5469318,711.9497439,958.9160181,493.96912,340.8201368,239.2770679,512.9313823,13644.1723,1062.475909,7633.960182,13825.05363,3989.865169,263.4979304,323.3812772,860.5633739,307.1427978
"2","AIF1",437.1365868,822.083209,1778.205196,1577.991266,3444.281038,24.0742984,20.32185897,21.96957308,742.8158187,718.6147868,35.1722477,39.50876033,19.07768435,29.36703511,1086.959659,105.7345527,23.17042572,8655.680002,1841.269508,1611.228571,11610.29035,3285.640815,26.9238589,1851.124125,1672.630327,51.17646344,6260.640469
"3","APOBEC3G",1739.537757,1557.442405,3618.807544,939.5533036,1039.109981,1283.451966,1135.293933,2034.562362,2090.85254,336.6456997,2340.674986,1540.772502,386.0535874,979.7203756,5415.054458,6314.770723,8895.302228,865.7405246,278.7681406,1036.993881,258.3004281,203.4477818,1393.358139,627.1314036,327.1943796,306.3062145,464.4412542
"4","AQP9",137.7601396,358.8970485,881.803115,2622.415449,3763.160679,21.34280658,15.11459289,15.66433549,13.67548268,14.1921014,14.8941249,13.11596785,18.66670647,64.26406026,188.8727485,93.46925864,12.57775597,2044.034835,4583.500675,4309.341662,399.4746192,1132.650087,1454.899429,576.553304,1876.266127,128.8196425,13705.68672
"5","BCL11B",1955.123937,1772.77324,1126.987068,708.9038954,363.0116856,166.5812991,133.7136259,149.8210195,4183.738789,7177.230404,4962.937555,842.2142194,3186.537019,2748.114787,2581.692496,818.2107999,512.27635,88.02675109,78.00838097,68.0390322,51.07857308,95.81819269,76.4604343,53.86480939,52.15823403,306.9880201,166.8927472
"6","BCL2A1",536.6568716,982.4683692,1436.843816,3722.277034,5164.021313,112.6417383,314.019133,76.39326014,575.0352025,452.9144897,755.8584033,1206.5058,698.6513948,171.062582,431.9749142,539.9592883,526.5774707,2261.391134,5560.455558,7038.536622,195.959802,135.5924775,5551.253657,869.1471248,3291.227822,13257.93204,8790.33201
"7","BIRC3",1067.363243,1211.281268,864.1732623,1251.031181,1288.861885,1762.323129,1072.239215,363.8164437,370.9307246,677.9807091,1121.424012,2888.707681,402.5623243,2449.370773,238.9246256,283.6871924,1173.96483,159.952492,230.7650134,1971.112539,237.5017836,442.7298273,10553.57544,71.25617244,1951.560424,1582.230325,132.8542597
"8","C3AR1",285.5756566,761.1002142,950.7378799,2058.587192,2907.443338,131.0995558,97.68302989,235.8730787,218.067024,100.57262,198.3433582,109.0856459,110.3968405,521.2960334,667.738611,753.7180287,473.1714371,1337.368233,799.6447121,4247.947251,2754.457112,879.0878468,259.2776033,4587.545998,4865.330497,9437.290602,746.04456
"9","C5AR1",184.8956726,397.7411839,1073.428439,2667.495421,3673.442368,92.39233333,64.88366132,25.374709,71.29814039,39.1758312,24.57422621,23.7998802,27.36083709,42.31424562,422.4027943,335.1748215,170.9594157,4237.561451,4989.998907,262.8037637,1920.668117,1195.953955,889.9578222,536.888673,756.9007984,2647.728393,12587.17469
"10","CCL19",430.5917682,1412.785208,1748.353522,196.9080838,3179.596326,78.52160611,139.7443318,258.1016824,77.62297831,36.87140683,60.92923205,89.77834495,48.98562369,34.99339888,21.17848138,109.9231796,146.4600699,115.5525527,114.3667988,32553.88074,137.0742038,170.8471166,3048.871233,38.04867174,19.15243809,152.8012995,117.2636391
"11","CCL22",91.89634803,263.3010587,692.7487906,1069.981592,2178.511981,46.07125476,31.32507211,19.84751256,24.03529684,39.42959137,27.87853733,28.17031886,24.33306321,560.1844434,23.02227816,26.9167755,76.9655571,33.117333,2604.46642,464.9729614,880.2022045,4123.086134,30950.32751,24.52312784,113.920916,94.52151623,59.92678374
"12","CCL4",2974.398205,3372.934154,11504.36736,5034.534056,7392.630077,1661.464071,817.4816647,307.8066133,2564.294556,270.8722361,442.4757485,11191.41447,356.4726389,481.2791164,8310.145807,11202.80591,38944.01868,3000.888772,1968.542066,11885.1113,3139.008389,2072.163482,4282.933369,1133.500818,35339.68536,6568.915331,2680.048326
"13","CCL5",2976.357645,2320.506676,8257.169142,1106.873895,3533.12846,19.56849893,88.23956549,30.32542187,11434.94887,189.4932768,3143.971755,1850.010235,69.75841522,171.0009164,19080.91475,17238.65692,11744.53738,102.8425968,100.2336827,16862.16904,250.750217,59.29347738,6507.212063,46.19150568,660.0913807,300.4379114,133.3630669
"14","CCR7",3297.292647,4029.248206,2136.519147,2132.000875,2769.159732,3811.326733,1939.045683,202.9261759,5074.201816,8788.597127,2693.556404,2885.120974,1858.531026,6339.949771,490.8051753,672.4665585,482.4429323,165.2353496,328.1949289,17366.91051,123.7463123,290.530233,14223.15516,66.65895255,81.24584846,647.9636327,376.1557339
"15","CD2",4491.010824,3948.573535,4390.837772,1367.761758,1254.388781,419.4350192,409.5822139,377.8722518,8182.951228,8002.722844,9578.936337,7866.426688,14057.43026,11226.69889,5897.393241,6247.906848,3097.47128,222.357789,149.914948,112.6050172,188.1947985,187.6124847,146.9688776,332.6238386,138.5888054,614.9120433,576.8272959
"16","CD247",3328.45929,3694.14186,7598.359202,771.4485043,1608.870819,23.66779296,53.69027623,65.55259868,5508.526368,7038.536622,5318.708728,2156.371127,5302.661793,9743.994501,9129.432322,16099.47966,15108.26954,35.27406041,23.92868112,26.9337182,81.83870096,43.67897681,32.48553108,128.4661867,105.4058403,459.1326292,59.83784952
"17","CD27",3602.59341,2900.820219,1404.246745,1787.074063,553.7361201,388.8197482,4138.587476,7350.586942,5506.313911,4042.377012,4188.175594,1125.960048,5710.976341,6979.725316,2288.252945,196.4705551,127.3316351,136.4091916,90.85495783,137.4401366,136.436149,125.1576644,111.9872056,123.9116687,89.47064836,468.4975465,300.1045211
"18","CD300A",485.1559847,686.1629589,2356.598707,1226.721158,1907.695771,30.69853755,77.94519325,103.7065116,738.0313132,193.2963626,414.3723032,54.40588795,46.81934,84.09971859,2268.609727,5340.892712,4668.361682,2187.807203,691.3037154,211.1048289,1737.241257,59.48756952,26.19487356,777.7278706,1075.456564,2406.92936,4130.857899
