"\",\"Y","predictedY","Pearson Correlation","rounded Correlation"
"1",3095.048627,3094.52424962747,0.999680740536475,1
"2",3444.281038,3444.47479946355,0.999680740536475,1
"3",1039.109981,1039.45980439375,0.999680740536475,1
"4",3763.160679,3763.03871107632,0.999680740536475,1
"5",363.0116856,363.208818275921,0.999680740536475,1
"6",5164.021313,5164.34778393969,0.999680740536475,1
"7",1288.861885,1288.88771869023,0.999680740536475,1
"8",2907.443338,2907.39983310193,0.999680740536475,1
"9",3673.442368,3673.42477878298,0.999680740536475,1
"10",3179.596326,3179.67355484135,0.999680740536475,1
"11",2178.511981,2178.43747827766,0.999680740536475,1
"12",7392.630077,7392.47064054822,0.999680740536475,1
"13",3533.12846,3533.53480075664,0.999680740536475,1
"14",2769.159732,2768.46927638289,0.999680740536475,1
"15",1254.388781,1254.81513250157,0.999680740536475,1
"16",1608.870819,1608.22067368566,0.999680740536475,1
"17",553.7361201,554.166027172067,0.999680740536475,1
"18",1907.695771,1906.9147049911,0.999680740536475,1
"19",1841.773543,1842.84248809936,0.999680740536475,1
"20",1692.033666,1691.76621273103,0.999680740536475,1
"21",1250.928966,1250.92316408351,0.999680740536475,1
"22",592.9618805,592.813386489287,0.999680740536475,1
"23",1844.074235,1843.42900350094,0.999680740536475,1
"24",1822.036307,1821.26880130262,0.999680740536475,1
"25",1544.596561,1545.63639021916,0.999680740536475,1
"26",212.9665358,213.855718542671,0.999680740536475,1
"27",5126.618648,5126.75804416136,0.999680740536475,1
"28",2364.240374,2363.72235405965,0.999680740536475,1
"29",3070.625912,3069.94794374941,0.999680740536475,1
"30",2287.371585,2288.10752992907,0.999680740536475,1
"31",634.9995688,635.169575834681,0.999680740536475,1
"32",3681.523105,3682.29339106441,0.999680740536475,1
"33",3858.828979,3857.78260064594,0.999680740536475,1
"34",2228.147891,2228.81517895363,0.999680740536475,1
"35",3054.122567,3053.73198422167,0.999680740536475,1
"36",648.049611,648.591645789747,0.999680740536475,1
"37",2364.491279,2363.97098095855,0.999680740536475,1
"38",5701.963368,5700.7718107957,0.999680740536475,1
"39",2146.981448,2147.96438423479,0.999680740536475,1
"40",6600.954396,6600.04675330857,0.999680740536475,1
"41",1489.527715,1488.56400318876,0.999680740536475,1
"42",2284.74568,2283.67928021419,0.999680740536475,1
"43",170.9318363,169.803848498569,0.999680740536475,1
"44",1574.657215,1573.61854030947,0.999680740536475,1
"45",1704.779812,1704.08073986675,0.999680740536475,1
"46",954.2752736,955.415092821563,0.999680740536475,1
"47",844.6672965,845.661115576008,0.999680740536475,1
"48",4244.600149,4243.76506475185,0.999680740536475,1
"49",2066.805608,2068.00059791825,0.999680740536475,1
"50",2274.004673,2272.86040498727,0.999680740536475,1
"51",3827.468731,3826.48661846297,0.999680740536475,1
"52",92.45912252,93.1402562085077,0.999680740536475,1
"53",213.1486204,212.297558928706,0.999680740536475,1
"54",369.1549548,369.638138601731,0.999680740536475,1
"55",102.6522586,103.549586219845,0.999680740536475,1
"56",2542.146607,2541.04944272626,0.999680740536475,1
"57",2225.492136,2225.17911690998,0.999680740536475,1
"58",2000.509166,1999.37384295957,0.999680740536475,1
"59",1370.735098,1369.67761147265,0.999680740536475,1
"60",2233.776416,2234.58453777722,0.999680740536475,1
"61",1047.330362,1047.43539318018,0.999680740536475,1
"62",1219.97515,1220.87945138908,0.999680740536475,1
"63",726.9104018,725.976806330314,0.999680740536475,1
"64",3008.310983,3009.2825979728,0.999680740536475,1
"65",881.2685234,882.24417682434,0.999680740536475,1
"66",725.9136191,726.677034409084,0.999680740536475,1
"67",1868.622611,1869.57844632611,0.999680740536475,1
"68",3840.595846,3839.97615859052,0.999680740536475,1
"69",2620.357194,2619.38041543654,0.999680740536475,1
"70",1532.613959,1531.41713327368,0.999680740536475,1
"71",1875.723482,1876.6340102425,0.999680740536475,1
"72",6395.340581,6395.03897694624,0.999680740536475,1
"73",6650.45783,6649.39232391999,0.999680740536475,1
"74",230.0865249,230.371110501392,0.999680740536475,1
"75",2778.015853,2777.38913442478,0.999680740536475,1
"76",9799.009651,9797.92476262066,0.999680740536475,1
"77",1203.372291,1204.35205347328,0.999680740536475,1
"78",218.639527,219.666388211521,0.999680740536475,1
"79",784.4013355,785.144338551726,0.999680740536475,1
"80",1610.290382,1609.32538604788,0.999680740536475,1
"81",2192.136127,2191.52278784562,0.999680740536475,1
"82",2350.853207,2349.94457498086,0.999680740536475,1
"83",934.8042345,933.761129530016,0.999680740536475,1
"84",473.3401869,472.434563243289,0.999680740536475,1
"85",622.7282092,623.641614314564,0.999680740536475,1
"86",668.7493204,669.664694651863,0.999680740536475,1
"87",2006.291209,2007.18077040271,0.999680740536475,1
"88",2346.451465,2347.43389559045,0.999680740536475,1
"89",4122.614306,4121.61611742762,0.999680740536475,1
"90",4261.687963,4262.16453749187,0.999680740536475,1
"91",625.6145996,626.095576121263,0.999680740536475,1
"92",653.4107499,654.421598693591,0.999680740536475,1
"93",2080.258763,2081.23572927042,0.999680740536475,1
"94",537.7332778,538.78799993148,0.999680740536475,1
"95",3159.091855,3158.01472170525,0.999680740536475,1
"96",3687.181673,3686.15858459206,0.999680740536475,1
"97",1327.31073,1328.3698866379,0.999680740536475,1
"98",1354.847735,1356.06160314467,0.999680740536475,1
"99",1376.555923,1377.4572699194,0.999680740536475,1
"100",3880.392959,3436.42996531458,0.999680740536475,1
"101",417.0751317,418.063132882264,0.999680740536475,1
