"","GeneSymbol","Mix1","Mix2","Mix3","Mix4","Mix5"
"1","ACP5",1045.560791,1250.323739,1919.91837,1148.432534,3095.048627
"2","ADAMDEC1",351.7709226,507.6668018,1011.75353,446.630648,1824.456385
"3","AIF1",437.1365868,822.083209,1778.205196,1577.991266,3444.281038
"4","APOBEC3G",1739.537757,1557.442405,3618.807544,939.5533036,1039.109981
"5","APOL3",884.0795293,1161.822176,1390.973673,394.9373033,1323.166073
"6","AQP9",137.7601396,358.8970485,881.803115,2622.415449,3763.160679
"7","BANK1",2869.121643,1579.737722,38.59314444,2546.997381,173.3878292
"8","BCL2A1",536.6568716,982.4683692,1436.843816,3722.277034,5164.021313
"9","BIRC3",1067.363243,1211.281268,864.1732623,1251.031181,1288.861885
"10","C3AR1",285.5756566,761.1002142,950.7378799,2058.587192,2907.443338
"11","C5AR1",184.8956726,397.7411839,1073.428439,2667.495421,3673.442368
"12","CCL18",199.5844181,161.7359153,741.4999988,339.1686473,1922.812838
"13","CCL19",430.5917682,1412.785208,1748.353522,196.9080838,3179.596326
"14","CCL22",91.89634803,263.3010587,692.7487906,1069.981592,2178.511981
"15","CCL4",2974.398205,3372.934154,11504.36736,5034.534056,7392.630077
"16","CCL5",2976.357645,2320.506676,8257.169142,1106.873895,3533.12846
"17","CCR7",3297.292647,4029.248206,2136.519147,2132.000875,2769.159732
"18","CD1A",535.6130974,1072.320301,515.411225,839.988698,1470.873735
"19","CD1B",386.3737146,1018.732928,475.0169479,792.3539707,1555.700574
"20","CD1C",749.6475138,707.1507806,294.9850223,861.7915354,910.5817174
"21","CD2",4491.010824,3948.573535,4390.837772,1367.761758,1254.388781
"22","CD247",3328.45929,3694.14186,7598.359202,771.4485043,1608.870819
"23","CD27",3602.59341,2900.820219,1404.246745,1787.074063,553.7361201
"24","CD37",6075.778917,4357.798294,2258.01783,5129.068446,1841.773543
"25","CD38",2058.771164,3070.425498,1370.698309,1494.295122,1692.033666
"26","CD3D",6123.141026,4679.324756,4022.950813,1827.359204,1250.928966
"27","CD4",1307.604965,1513.315737,1662.78028,508.8447111,1844.074235
"28","CD40",829.716493,1144.937743,1014.636614,797.6893247,1822.036307
"29","CD69",4169.868928,2894.707397,2343.121654,3474.360732,1544.596561
"30","CD79A",4393.288488,3267.003814,213.5131726,3718.601542,212.9665358
"31","CD8A",1382.794537,252.7608113,656.3364216,898.0764307,304.9436662
"32","CHI3L1",162.8406805,188.1950465,953.4865745,777.8945363,1771.924174
"33","CLC",186.9276847,789.3263113,286.3565868,4586.063481,5126.618648
"34","CPA3",394.1205809,926.1532376,750.9258866,3988.233574,3070.625912
"35","CST7",1624.936464,1292.241405,5420.807862,1327.737823,2287.371585
"36","CTSW",1143.566314,663.2163203,3577.425157,372.8736092,634.9995688
"37","CXCL10",690.2686735,1605.492289,2155.580797,717.9277328,3681.523105
"38","CXCL11",140.7553254,406.5512454,548.9367468,170.5659502,1053.603566
"39","CXCL9",690.8953126,1826.557382,2223.509731,390.9729694,3858.828979
"40","CXCR2",65.77048345,139.5368707,325.1531904,3087.949081,3707.773465
"41","EBI3",232.845385,856.2659917,1126.11092,220.5310958,2228.147891
"42","EMR1",388.0876638,884.6573089,613.9936483,2414.64371,3054.122567
"43","FAIM3",5939.068467,4659.837224,1752.517878,3860.205139,648.049611
"44","FAM65B",2919.618803,2217.698832,1185.922839,3629.396036,2364.491279
"45","FCGR3B",216.7693251,234.0065663,306.2967974,4890.132853,5701.963368
"46","FCN1",593.1959139,1655.658237,4112.670368,1083.661232,2146.981448
"47","FPR1",417.1686908,858.9379203,1482.519025,5442.04966,6600.954396
"48","GNLY",1681.330421,1807.532627,8667.134233,286.9932995,1489.527715
"49","GUSBP11",7100.331199,7355.652878,436.3674454,5119.266732,170.9318363
"50","GZMA",2346.604073,1401.496856,7968.466844,643.0780178,1574.657215
"51","GZMB",2566.498589,3520.08042,8028.325622,943.8103,1704.779812
"52","GZMH",1782.720162,1105.517462,4591.722624,571.2141853,954.2752736
"53","GZMK",1998.226231,507.7935289,2347.055581,824.9577237,844.6672965
"54","HCK",454.4943769,1103.64529,1951.060594,2198.798256,4244.600149
"55","HDC",144.1657308,353.5446961,315.894784,1564.781075,1297.881897
"56","HLA-DQA1",612.4058572,826.7356201,855.4301928,844.0504798,2066.805608
"57","HPGDS",150.528005,578.0167477,526.195245,2896.545116,2274.004673
"58","IDO1",531.6521244,1342.931522,1882.194687,1037.176992,3827.468731
"59","IGHD",4934.922932,5935.254344,239.3391369,3774.165992,92.45912252
"60","IGHM",10412.62838,10297.11001,562.1560335,8045.200517,213.1486204
