GeneSymbol,Mix1,Mix2,Mix3,Mix4,Mix5
A1CF,317.7220911,293.3410772,217.2998439,324.7809882,249.6299917
A2M,151.4555085,530.8308538,837.1582821,692.7267213,2510.675378
A4GALT,73.51272427,92.71798727,64.72595267,71.60248576,81.67938911
A4GNT,288.2954902,259.639816,158.096971,282.4073275,197.121171
AAAS,108.8647971,106.834378,103.5054008,50.65121203,65.30967868
AACS,416.1828118,416.3799431,422.9219851,384.271867,361.2181421
AADAC,41.10419906,35.57505177,31.52390175,54.71572873,45.12898916
AAGAB,157.7216166,167.1217439,248.6216485,144.680464,207.9310535
AAK1,147.6484957,148.677481,144.7104697,136.0572877,128.1414625
AAMP,788.9084354,783.9046121,663.1950014,660.3590288,570.3342892
AANAT,12.85820562,11.64818814,14.30201579,13.30661653,13.65527203
AARS,2041.927177,2287.097825,1761.015447,1933.436642,1515.816625
AARSD1,200.3469985,220.5257175,205.9623392,173.0789538,180.9470508
AASDHPPT,821.5057297,850.5244516,827.977948,809.0906601,727.2370623
AASS,12.63865381,13.8243424,10.47018899,12.61193202,12.1592515
AATF,643.7927509,876.868931,1113.28098,625.2873106,986.8160088
AATK,174.3846248,206.9496181,320.132646,550.0583007,706.9574273
ABAT,158.0548767,193.10486,239.7509625,265.2639163,341.1028041
ABCA1,331.3180445,401.0163742,431.9663354,1260.622827,1681.486472
ABCA12,53.20838962,54.6296497,40.31643604,44.58706686,33.34990057
ABCA2,188.2771376,154.5243256,220.7147351,161.2285818,180.4149995
ABCA3,63.43003333,54.72527967,65.94269867,62.76957009,53.71517951
ABCA4,32.67038442,36.97561585,36.56383436,33.75512591,37.92284488
ABCA5,265.8035883,299.4021201,265.9987099,305.4664311,343.9307274
ABCA6,102.2541836,120.8579047,85.3742026,133.6158265,155.38847
ABCA7,382.0041465,382.18429,315.1743338,443.0707547,427.6628164
ABCA8,42.28399182,37.18393612,23.7840047,36.42288781,18.17410833
ABCB1,376.4510927,313.780815,495.2552522,260.1871057,199.5612203
ABCB11,30.83038964,32.85214392,23.62890349,30.0646551,26.93447322
ABCB4,107.0303332,121.8446505,14.54873432,107.5482898,34.55371297
ABCB6,240.6979106,287.9775268,186.289145,193.06161,174.2022372
ABCB7,369.0545625,456.8212436,486.3522934,236.34076,390.8362601
ABCB8,19.75428502,23.77158994,21.51031614,12.73738183,24.36311945
ABCB9,106.405051,151.2457613,33.97528228,78.62789542,38.88015012
ABCC1,799.9518311,835.984617,757.8562187,998.8772195,1086.483021
ABCC10,721.0314071,697.4205507,634.3147409,666.874854,604.8711317
ABCC2,43.09399763,58.82445226,33.80783702,38.09984124,40.14459282
ABCC3,55.62131708,110.6300189,249.2331457,98.91170732,444.5659033
ABCC4,204.9970061,322.1232961,319.2426469,550.869121,636.6356385
ABCC5,621.1142133,541.4809038,601.7939115,758.1902137,881.5471173
ABCC6,12.8209188,14.1421951,13.79401824,12.63347868,13.3714354
ABCC8,13.78817934,14.65809858,15.68636569,15.95121503,16.63553793
ABCC9,96.26709243,85.78993979,58.92867144,96.08155631,69.72632796
ABCD1,707.3674243,683.0796194,521.2524318,737.3746625,631.5006814
ABCD2,110.4355746,88.09111406,55.84099149,89.0659206,53.65333523
ABCD3,455.6836009,512.5473048,744.0160868,371.1272548,481.0466826
ABCD4,232.0392295,239.3934497,218.1612344,213.1332698,202.3153846
ABCE1,752.2375995,762.0251531,744.6930704,568.2675232,554.3642471
ABCF1,1683.91856,1650.105646,1731.657361,1551.356225,1539.366661
ABCF2,241.6906859,236.886621,266.7758546,173.7496484,184.2679787
ABCF3,511.3478895,498.3405248,399.7502658,507.0728158,453.3021636
ABCG1,233.9631382,225.5918853,234.3165107,380.4517715,471.3009358
ABCG2,350.6534195,383.6240492,193.5095749,303.9910721,191.8585315
ABCG4,338.3184625,316.3939859,209.900459,340.3050726,235.1370793
ABCG5,18.44968888,21.14618877,14.3784921,25.45736485,26.71968918
ABHD10,1055.952179,1071.446844,845.2428072,998.0830258,835.3507795
ABHD11,520.491199,557.9412039,382.4519462,515.9259791,416.8425393
ABHD14A,756.8359841,748.7337078,433.59307,553.5715701,351.1147489
ABHD2,352.149941,421.4137154,609.4983156,586.4328871,732.9449362
ABHD3,767.2986535,638.9037202,1063.1455,763.4778393,973.0916501
ABHD4,913.8380836,914.7948987,663.5172555,1128.864173,955.1248998
ABHD5,223.4497447,256.6969002,272.852013,597.0995368,684.8659383
ABHD6,115.5984545,134.8517825,207.6835677,147.750149,270.5230247
ABHD8,31.90926062,43.65537898,82.50460119,30.56282756,74.33845933
