GeneSymbol,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,
IGKC,27164.52012,30254.0679,36524.44074,3097.474216,489.1798399,40.36292074,67.88787751,329.5978842,351.6837529,2059.744494,324.3571791,121.6124805,318.0695055,78.07530888,235.9541063,170.8361038,64.18688874,223.333702,100.706419,162.9166765,1108.467068,119.9968023,119864997.9
CCL4,1661.464071,817.4816647,307.8066133,2564.294556,270.8722361,442.4757485,11191.41447,356.4726389,481.2791164,8310.145807,11202.80591,38944.01868,3000.888772,1968.542066,11885.1113,3139.008389,2072.163482,4282.933369,1133.500818,35339.68536,6568.915331,2680.048326,110966556.4
IGLL3P,6633.535586,8962.420222,42851.28444,217.4652812,18.00926412,41.51758679,96.40860336,50.27476208,551.6984117,36.19278033,33.45486904,62.78986393,70.0394246,45.93797103,157.7551766,102.1260256,159.0326323,142.2968228,37.36510829,56.06416798,80.27971882,83.43489613,85462974.07
MMP9,338.94428,388.1056494,357.9745698,286.9137339,359.6153524,395.4202673,258.4783862,424.4791722,396.8938938,338.8946519,688.2490954,284.1304512,335.4295326,38944.01868,2727.981464,16386.05747,3188.623948,2899.726139,1191.482432,12655.47888,635.0862911,6429.776491,78522426.74
TPSAB1,1102.29779,794.7203184,151.7313169,376.0368021,43.36581215,284.8186666,147.2741095,481.0725006,28.78893808,262.6432093,465.2204213,311.7403372,543.6290931,358.1005731,368.9130231,365.4798555,397.8866549,396.8599394,27467.08759,29437.28907,918.5119625,1033.132677,68105858.22
IGHM,21960.79819,14250.20741,31273.67963,361.7379219,46.93569691,156.9391502,260.5780432,2116.005563,593.8569709,226.0772361,162.309451,134.8648186,127.0436672,32.10709446,32.67724104,26.51832445,44.41793335,41.25586808,70.02577331,41.64994169,834.002996,98.13122154,67988764.08
CXCL9,597.5841917,438.2088306,268.3992061,125.8362376,77.45884479,151.5042347,259.4612394,143.5770588,159.2182742,220.9114526,186.9242102,590.3615841,265.0825127,168.4971354,38944.01868,199.4359175,179.9813131,2918.819703,123.5555835,99.76021313,193.9209434,403.0543959,67979344.49
PRF1,201.9573668,236.1351207,213.4124783,8182.518825,847.8104385,2130.073632,1288.368436,953.5011061,1643.00791,15440.12701,26164.60132,27164.52012,142.7487889,88.71604457,55.13574502,23.15489547,67.86490889,103.9210768,346.3646077,285.2205902,268.3717602,422.6697907,66700803.28
CPA3,786.5967435,653.570348,431.8870773,147.6958112,25.20265438,243.2991012,226.7134742,148.1833551,145.5265348,271.5067499,458.1363071,308.1273629,135.1465191,139.386735,247.6828366,206.9088618,132.4987072,149.4195584,28290.30984,22328.97153,1091.417527,522.5988941,54962149.76
GZMB,102.255299,68.32230989,62.71521001,2080.697741,85.36127082,58.9177582,21960.79819,64.03542312,53.64876826,6018.578754,15276.85279,23235.35012,61.71915165,136.87295,159.2974346,111.0281937,30.67820522,82.17563279,947.0769465,5600.547397,226.9706864,154.330993,50570496.49
TRAC,572.5113556,1006.350088,215.8269579,13721.45552,14057.43026,15532.16188,8731.942274,20117.66469,19538.4969,3189.238319,815.6846136,506.0537577,208.9784165,252.2397003,151.3173183,142.6133419,215.6237237,255.9384554,159.567675,187.1669874,880.0902068,790.0055576,49433062.13
CCL19,78.52160611,139.7443318,258.1016824,77.62297831,36.87140683,60.92923205,89.77834495,48.98562369,34.99339888,21.17848138,109.9231796,146.4600699,115.5525527,114.3667988,32553.88074,137.0742038,170.8471166,3048.871233,38.04867174,19.15243809,152.8012995,117.2636391,47864311.51
CXCL10,761.3944185,395.6381026,246.2438258,157.22658,120.4987696,152.9758784,529.512254,127.9224652,256.6183684,488.5453368,201.1109308,1510.914551,500.9300164,163.1981892,31273.67963,278.3434035,163.7176364,11302.3948,112.8085953,313.9187307,332.722032,486.9671286,47492047.48
IDO1,241.0650179,312.4524995,345.5621343,241.3331484,192.0869901,248.9097098,201.7392421,241.4925332,91.27779079,183.5919996,667.1972433,671.6285143,269.4662793,338.8974249,26473.42255,91.36792646,131.5732395,20536.85787,207.8915127,164.8463693,1389.417624,527.4082419,47388098.77
GUSBP11,8048.07448,10388.03123,30254.0679,521.3361484,587.5664324,151.2654723,9.073509293,447.7619209,268.2718711,15.07275333,311.6532884,98.43888337,43.51505491,6.401562035,14.61435957,286.719961,9.045254731,9.611149339,51.74630466,22.89358188,371.5811685,277.7647569,45975403.57
GNLY,9.016559093,14.52025513,19.25302109,3732.536058,134.9186388,1198.37505,233.4211369,12.65987353,24.36657201,8201.567151,21760.60028,23235.35012,19.94743339,16.57744727,20.40693277,15.74284151,22.37056888,21.45038814,26.17106781,18.37211337,24.52606794,118.2602821,44692589.49
NCF2,153.4955828,345.1359814,194.190923,62.34284219,225.0278308,88.17850315,60.47608557,68.81156687,425.6902381,1620.910475,483.3850653,168.835817,12280.85608,15650.12064,762.0351121,11487.88902,11149.65069,3147.592954,956.1678627,1619.076321,20110.62767,17226.82018,44355678.9
CCL22,46.07125476,31.32507211,19.84751256,24.03529684,39.42959137,27.87853733,28.17031886,24.33306321,560.1844434,23.02227816,26.9167755,76.9655571,33.117333,2604.46642,464.9729614,880.2022045,4123.086134,30950.32751,24.52312784,113.920916,94.52151623,59.92678374,43300660.19
CCL5,19.56849893,88.23956549,30.32542187,11434.94887,189.4932768,3143.971755,1850.010235,69.75841522,171.0009164,19080.91475,17238.65692,11744.53738,102.8425968,100.2336827,16862.16904,250.750217,59.29347738,6507.212063,46.19150568,660.0913807,300.4379114,133.3630669,42941475.44
CD3D,103.2248459,174.4025802,88.37677893,14396.85632,14916.803,12009.36242,7456.754789,18921.47848,12721.06851,11894.34724,250.8695535,243.8532814,79.18206065,74.30949816,26.01377304,12.22050099,106.1967153,132.5505719,40.77673955,13.20972496,795.027696,250.9974436,42101582.09
FCN1,160.5487443,92.91123613,109.9311142,130.0754644,144.5883358,98.71765801,63.37271678,116.5979064,122.2714734,5094.70768,465.2336051,121.8089713,29800.42108,1401.079575,306.8296547,593.0958939,121.7194027,120.9633626,483.4804269,562.6779332,168.3568238,5370.355855,40548293.39
FPR1,361.3212533,387.2639146,343.9217634,210.2034137,161.9808797,240.3083941,161.2444569,248.213136,222.4633603,911.9483813,397.2639649,303.3669097,9800.634834,880.9211063,801.8866109,408.5415267,281.0707287,222.4014754,660.8588777,716.9951177,3809.534017,27644.58995,36632057.52
LTB,10351.64143,12117.94539,106.6290931,9829.724672,13247.62405,12009.36242,5257.453469,9725.14216,17485.2086,3372.608476,1009.906661,16862.16904,321.3564756,127.317149,116.2863022,161.002021,184.5481051,112.0607213,222.2586327,400.9057785,2136.992363,5458.249488,36596524.69
GZMA,204.958358,217.1903236,91.85142742,6301.839315,440.9534741,4034.52042,1173.96483,130.7405303,318.1893547,14188.10221,13660.47953,22380.29444,132.0433731,95.37711154,109.7080589,68.0390322,93.29389844,128.6984558,50.07477091,68.27005989,150.5888289,334.8696127,36114935.2
IL7R,277.7164299,454.5504216,126.0983758,15195.16858,19513.31337,18085.9446,1965.113683,3066.253514,507.1604755,2118.827609,1159.340489,341.6294609,163.3050166,5078.293455,2163.365124,85.59144108,2156.179359,7799.647099,36.56114051,325.7294175,358.0842541,742.6718185,35797710.35
LAMP3,47.28278554,46.66817965,128.4317353,134.7841361,120.9265077,160.3048593,368.6319956,165.5835013,264.0396917,132.2010638,210.8261404,418.7096295,38.76231871,316.7767691,17116.19562,113.1413857,1014.136741,23356.30643,81.94628982,130.0600242,540.5707204,320.9232259,35600739.69
IL2RB,2118.459057,1945.518804,848.6873784,4000.216538,818.7927424,2988.605281,7562.491571,7279.249666,12662.47545,10958.76994,18026.39249,19190.61594,321.9612928,294.5506048,221.9788101,172.9682935,246.8795571,366.1434094,341.9687806,442.6048403,381.1943018,1044.851269,34940735.17
TRBC1,575.8478308,930.328823,525.0492335,8923.922332,12460.73946,10179.78364,3287.836318,16623.7078,19876.20631,5338.319292,4520.50562,2812.593654,78.94320693,56.8335872,223.4955364,131.0995558,189.1209091,145.715446,114.6022938,47.87130436,551.5102039,181.0122765,34731186.23
PRG2,98.84281244,125.3109437,157.5298559,126.6467707,107.0290453,139.1010495,165.4537351,35.31282708,68.52536924,16.54700608,70.81916153,82.7123624,117.086355,103.3752118,295.678865,263.6529152,85.47893602,89.83062765,19061.38442,20880.60329,189.2703998,59.65270386,34201427.9
FCGR3B,434.6883898,191.9423831,121.1090782,178.1993614,61.46749025,133.7448215,106.4982845,64.11513732,203.850527,446.2450155,494.7560439,369.6606901,402.4458452,256.3156774,154.0822062,155.6717837,158.6201963,125.0983352,290.4715044,123.6149676,321.0470841,27546.9664,33940209.09
HPGDS,203.7910498,224.547027,125.9523542,83.72110944,88.13751751,182.147041,92.78922471,56.70706623,219.6942345,118.9847774,177.6752993,148.3391263,36.75265198,239.7846459,64.8769987,138.6741034,195.4447153,125.1233721,21760.60028,17743.45795,256.5193159,219.1322864,33655918.43
CLC,317.0133169,263.8099578,158.2726851,91.38509289,21.54663623,110.2519917,184.5831263,91.98053835,38.52410842,337.9147534,509.9159527,237.9275689,86.56595204,69.27115976,226.7134742,172.4089256,98.81299309,102.2341069,3917.54615,3098.629915,26617.23891,4605.247829,32270973.9
MS4A1,18085.9446,17478.14564,396.3913895,343.9223112,52.22897356,220.8581711,125.466199,112.2871276,272.6999955,505.1556973,193.3316222,177.3861387,128.6338935,31.97803261,94.49057817,64.19016147,64.56613288,122.1899811,80.29122433,52.09389632,704.4005013,274.6589928,26798018.17
MNDA,29.5032353,276.0791648,5.02270779,50.81863936,9.217386051,8.750532337,4.525700455,13.50066477,38.28622427,2157.226727,790.3716005,301.3206314,11447.56145,2609.874357,4016.523813,1867.617958,4559.644609,2133.559627,2154.019115,1279.186504,3154.581987,22598.07416,26391578.82
CD247,23.66779296,53.69027623,65.55259868,5508.526368,7038.536622,5318.708728,2156.371127,5302.661793,9743.994501,9129.432322,16099.47966,15108.26954,35.27406041,23.92868112,26.9337182,81.83870096,43.67897681,32.48553108,128.4661867,105.4058403,459.1326292,59.83784952,25743721.45
IGHD,10811.41236,2526.481303,21173.52695,62.3476822,125.466199,26.14159933,21.20380232,135.5693196,28.36731347,27.10540257,32.58210537,21.68739568,50.4303708,44.70050298,97.72702921,106.3962528,78.42668997,56.63839916,32.60266038,30.03853946,257.5071029,79.25564732,24447608.13
TRDC,88.17850315,81.15497901,101.0670278,3014.575466,282.0101621,781.3316356,486.8794819,370.2752613,124.6527289,17980.35398,10797.21174,11382.00872,61.01801703,30.12404697,22.31868643,24.26650252,46.6420448,30.42258616,247.3533379,209.0182876,165.8509884,162.1231973,22930740.45
CCR7,3811.326733,1939.045683,202.9261759,5074.201816,8788.597127,2693.556404,2885.120974,1858.531026,6339.949771,490.8051753,672.4665585,482.4429323,165.2353496,328.1949289,17366.91051,123.7463123,290.530233,14223.15516,66.65895255,81.24584846,647.9636327,376.1557339,22397430.37
NKG7,6.994769751,10.33850341,7.726182177,8640.630717,106.5387015,679.6910465,947.3726372,7.582193721,18.51226305,10086.41757,13911.17937,14574.73469,34.65463899,4.93466715,217.2245766,6.547727883,4.961302934,6.557717872,429.3526592,573.0034371,24.2643021,13.31565465,22343434.7
