"","GeneSymbol","Mix1","Mix2","Mix3","Mix4","Mix5"
"1","03-Mar",252.113904,319.3287875,198.6458406,679.0053287,552.829516
"2","05-Sep",38.87224333,55.0474634,45.08330782,25.08790646,32.84776507
"3","08-Sep",52.35218819,69.69234452,60.6408133,71.92774015,78.46794475
"4","ABCB4",107.0303332,121.8446505,14.54873432,107.5482898,34.55371297
"5","ABCB9",106.405051,151.2457613,33.97528228,78.62789542,38.88015012
"6","ACAP1",622.0653007,656.9327774,466.7711047,416.3047121,348.8248412
"7","ACHE",32.11292959,74.52687925,88.24043215,26.25206145,156.119247
"8","ACP5",1045.560791,1250.323739,1919.91837,1148.432534,3095.048627
"9","ADAM28",599.6649853,507.8437873,101.5430564,605.8435736,200.4945466
"10","ADAMDEC1",351.7709226,507.6668018,1011.75353,446.630648,1824.456385
"11","ADAMTS3",81.86170488,93.20985745,56.84739551,157.3848107,116.2821717
"12","ADRB2",553.2825186,560.1425371,1258.993961,1117.022735,1168.035297
"13","AIF1",437.1365868,822.083209,1778.205196,1577.991266,3444.281038
"14","AIM2",1343.275901,867.8888836,521.5171681,960.559311,586.8791408
"15","ALOX15",16.76214805,136.9409942,84.87239292,118.5853065,342.2024755
"16","ALOX5",819.6563077,587.3728797,415.911906,1385.043852,1004.744153
"17","AMPD1",502.2026388,656.4131706,100.4983939,371.6020876,96.82178173
"18","ANGPT4",62.08556195,68.90080855,30.41372492,43.07553114,23.59065387
"19","ANKRD55",390.4561914,477.4860912,178.3515323,380.4498959,308.8237771
"20","APOBEC3A",175.4580246,417.7071191,688.3758438,1223.158971,1940.407861
"21","APOBEC3G",1739.537757,1557.442405,3618.807544,939.5533036,1039.109981
"22","APOL3",884.0795293,1161.822176,1390.973673,394.9373033,1323.166073
"23","APOL6",30.88063263,55.33964953,122.6836633,17.60029692,112.2744641
"24","AQP9",137.7601396,358.8970485,881.803115,2622.415449,3763.160679
"25","ARHGAP22",44.59229959,67.56621681,107.3273078,138.1093786,270.7523576
"26","ARRB1",41.43954283,80.74185147,171.2517844,28.14702774,175.6864897
"27","ASGR1",46.69000774,76.39425413,164.8977645,47.05726525,92.04256438
"28","ASGR2",62.19490366,113.8944404,232.6937007,42.94731816,153.7824637
"29","ATHL1",1019.024505,1299.863949,404.5382082,677.9682482,397.3760755
"30","ATP8B4",123.3363689,195.0222692,424.3713636,412.7064016,534.637144
"31","ATXN8OS",30.13786661,36.64369061,13.65211138,24.92686471,13.99907611
"32","AZU1",50.18604442,81.58498401,148.3316137,171.9381376,207.0756318
"33","BACH2",1347.014601,1303.63134,341.5794534,1069.574069,150.6603873
"34","BANK1",2869.121643,1579.737722,38.59314444,2546.997381,173.3878292
"35","BARX2",35.86972543,52.57676188,58.87707332,33.06537925,52.37459086
"36","BCL11B",1955.123937,1772.77324,1126.987068,708.9038954,363.0116856
"37","BCL2A1",536.6568716,982.4683692,1436.843816,3722.277034,5164.021313
"38","BCL7A",343.2918165,325.8070759,78.49001239,335.4363041,134.1941303
"39","BEND5",225.6651572,214.8308479,57.28943372,202.1506112,69.08299214
"40","BFSP1",29.00228443,36.59448008,35.15626411,20.99911308,27.37056865
"41","BHLHE41",310.2601897,281.4525147,471.2082183,247.8043323,383.240756
"42","BIRC3",1067.363243,1211.281268,864.1732623,1251.031181,1288.861885
