,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,
1,-0.090584025,-0.301596065,-0.1970805,-0.376318584,-0.306949457,-0.346954922,-0.316061338,-0.329784063,-0.336081499,-0.352402835,-0.300669711,-0.262572685,-0.296038105,-0.237554133,-0.269396812,-0.268258462,-0.243075046,-0.305367093,-0.228590208,-0.240788668,-0.317276798,-0.326091082,0.003916695
2,-0.309493101,-0.296464107,-0.006653714,-0.366071104,-0.290408538,-0.334028132,-0.294849937,-0.324341225,-0.317279635,-0.347786218,-0.297544213,-0.258904621,-0.288511255,-0.215120534,-0.268889723,-0.316492884,-0.237726929,-0.297616185,-0.206692787,-0.244589425,-0.310192474,-0.319441224,0.005340137
3,-0.22855278,-0.161038447,-0.187829483,0.164709849,0.64373628,0.175298563,-0.083912204,0.208559682,0.641192368,-0.232249068,-0.11004484,-0.143904766,-0.19750267,-0.218501641,-0.268446548,-0.326810359,-0.273512334,-0.296348267,-0.183899199,-0.226489814,0.009869721,-0.120236289,0.074805827
4,-0.309689915,-0.298926396,-0.192690048,-0.371626726,-0.294925728,-0.340652751,-0.31229683,-0.325709537,-0.327811738,-0.341599005,-0.299534682,-0.259820093,-0.290610352,-0.234887396,0.104838632,-0.311615103,-0.29904588,-0.226533453,-0.224447478,-0.245717024,-0.305089731,-0.323306907,0.009126142
5,-0.070244241,0.568514342,0.130887512,-0.220900596,0.087090928,-0.03270899,-0.148315138,0.015063719,0.131540428,-0.137331899,-0.175687255,-0.189852174,-0.025669415,6.095906826,0.018451306,4.203032581,7.59366408,1.36309742,-0.1123297,-0.136059679,0.088664125,-0.22256985,4.707522194
6,0.471990736,0.212648984,-0.103496302,-0.366860544,-0.28807097,-0.339060787,-0.311063438,-0.321077609,-0.303172216,-0.345720506,-0.231928963,-0.234735845,-0.268235145,-0.21571755,-0.200674307,-0.125862273,-0.287284698,-0.285124641,-0.168779341,-0.210823394,-0.06235502,-0.285786109,0.038052775
7,-0.165435636,-0.162459149,-0.161497659,-0.35557654,-0.266292261,-0.32410238,-0.300361741,-0.299346694,-0.262883871,-0.25365977,-0.279811846,-0.248989494,-0.242629679,1.832218015,2.093776904,2.638315219,-0.214378647,0.439787535,0.097347314,0.315190845,-0.240393767,-0.265658323,0.740745999
8,-0.256563542,-0.25850415,-0.177302038,-0.356722033,-0.267209516,-0.318420289,-0.284417297,-0.315637281,-0.302427684,-0.32757198,-0.293887414,-0.248239603,-0.270110134,-0.220086246,-0.268066638,-0.320682242,-0.280765001,-0.288889773,0.061400501,-0.106063137,-0.276129531,-0.28731958,0.0078849
9,-0.118699862,-0.075829339,-0.113805682,0.084446115,-0.268321188,-0.011361608,-0.222049337,-0.28544664,-0.233208882,0.698924814,0.441978562,0.467331261,0.055405925,-0.174821318,-0.057994941,-0.124372565,-0.208209918,-0.272692983,1.848865863,0.792411876,0.620839177,-0.070771291,0.25985144
10,-0.306059865,-0.297265706,-0.192735481,0.003735783,0.073224952,-0.33110267,-0.294115254,-0.323621257,-0.325493832,0.125813121,-0.265501452,-0.256805828,4.318950226,0.613946365,0.171079235,6.569656664,1.569439618,-0.296134345,0.600961126,0.352434298,-0.29992311,1.886388693,2.947211758
