,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,
356,-0.178441585,-0.13097856,-0.09371402,-0.230883734,-0.117924476,-0.125427301,-0.141388139,-0.125455678,-0.14479075,-0.206147625,-0.042952391,-0.175955803,-0.12037675,17.84663967,0.481688536,9.412088002,1.513985733,0.906670447,0.304596421,4.328761251,-0.019587584,1.946303196,18.00099479
272,10.69409004,13.37240513,10.5646284,1.215506545,-0.0489378,-0.328139174,-0.274321364,-0.171834899,-0.167019362,0.557495362,-0.18197691,-0.226306741,-0.129639312,-0.204984457,-0.21143425,-0.238854393,-0.271911688,-0.213900109,-0.185468889,-0.194155692,0.207682866,-0.288864181,17.0030874
504,-0.083775755,0.148550082,-0.135605255,6.682894058,7.175483895,8.516549189,5.768690446,9.500832421,9.266621169,1.058718663,0.005734213,-0.107200044,-0.187845615,-0.124092297,-0.234974796,-0.255651959,-0.185351886,-0.200248924,-0.159023625,-0.185375896,0.098038971,-0.051521233,13.43347634
65,0.357581885,0.063156457,-0.108498635,0.941117902,-0.165175792,-0.09856205,7.484125143,-0.158698166,-0.103300803,3.331168584,3.974122848,11.80156033,1.301797396,0.673059207,3.028616972,1.527736337,0.875827938,1.485801247,0.278546364,12.5415506,2.829247982,0.618004828,13.35629173
240,-0.274372739,-0.275563124,-0.180727646,0.692245929,-0.263951198,-0.317545714,14.99556379,-0.301645323,-0.313555156,2.314264572,5.530608122,6.934737384,-0.26641681,-0.177675383,-0.232755238,-0.274450743,-0.291064921,-0.273001149,0.194789597,1.774531893,-0.215524178,-0.276701686,13.17618943
202,-0.250746132,-0.264445662,-0.166813008,-0.311596941,-0.232415718,-0.294822871,-0.277470602,-0.27595209,-0.279815216,1.904288263,-0.128155222,-0.226245865,15.60087255,0.409496337,-0.191721201,0.012465328,-0.23902667,-0.256761233,-0.013495669,-0.049422616,-0.243664735,1.571015538,11.39181372
503,0.13094917,0.052865304,-0.154494391,-0.185018598,-0.286311701,-0.188572756,-0.218950989,-0.097792115,-0.325778067,-0.239984905,-0.128160258,-0.167401773,-0.00929044,-0.074924297,-0.174453574,-0.123006722,-0.081172191,-0.14124694,12.10973554,10.40459521,0.116485284,0.034603772,11.27671384
95,-0.273979777,-0.227600745,-0.173165121,7.030473539,7.633057338,6.505287394,4.879271627,8.916120868,5.914674794,4.921691023,-0.210052779,-0.188434382,-0.257099355,-0.206733521,-0.269826236,-0.333258904,-0.247899285,-0.25190982,-0.212394175,-0.248356912,0.057200399,-0.2424587,11.00881157
293,-0.20325752,-0.100936693,-0.162048478,7.441306573,10.08047157,9.974573036,1.048957257,1.165878367,-0.090575634,0.583714039,0.137027575,-0.158141595,-0.212214972,2.117410182,0.324648346,-0.289590137,0.923850585,2.958203352,-0.214288165,-0.135209537,-0.15257646,-0.068288669,10.39249983
368,-0.253604812,-0.15040656,-0.141981445,-0.346453976,-0.189585669,-0.30083996,-0.279490947,-0.299310681,-0.130632361,0.362758719,-0.121220476,-0.211676117,6.253187905,7.027586912,-0.065112127,6.49680609,6.064430135,1.010449045,0.198873976,0.333045135,9.330633761,5.771032587,10.27186305
138,0.002994056,-0.01095324,-0.071931831,-0.302529035,-0.295982684,-0.212277402,-0.163543556,-0.260512707,-0.268381327,-0.236051628,-0.130866737,-0.168521136,-0.227239132,-0.176507834,-0.208172066,-0.217384682,-0.232865326,-0.244846995,12.47959394,7.831037493,0.199497369,-0.146246989,9.755730853
513,-0.082423466,0.114178368,-0.044476725,4.213953998,6.325325083,5.460731227,1.971530931,7.792940338,9.432663812,2.012393163,1.421157135,0.607406751,-0.257226797,-0.214850359,-0.214899428,-0.26250471,-0.200500633,-0.246397859,-0.179225731,-0.235807729,-0.059712523,-0.267250146,8.838555812
414,-0.233963023,-0.199689434,-0.136316808,3.832407743,0.142015241,0.864933371,0.576940423,0.133137202,0.467890032,6.495163494,9.690260859,8.152063642,-0.223182889,-0.200042275,-0.261726365,-0.326750993,-0.269809367,-0.263896615,-0.075099248,-0.149875709,-0.195647492,-0.181645732,8.784329292
271,8.584997154,6.13653351,9.017216782,-0.192377188,-0.284410914,-0.261582641,-0.139923668,0.70138467,-0.047949297,-0.256211393,-0.243887072,-0.222200932,-0.231562465,-0.226334793,-0.267972885,-0.324749155,-0.283211428,-0.29013372,-0.19925313,-0.238060166,0.075912468,-0.296609813,8.336213617
273,2.372785776,3.74575103,12.42916408,-0.266623782,-0.299812808,-0.327479944,-0.254428704,-0.308371715,-0.068677528,-0.340474372,-0.293115828,-0.244531026,-0.261977471,-0.219910922,-0.233184195,-0.279749117,-0.217698796,-0.247829192,-0.213926958,-0.232841513,-0.285950616,-0.301815818,7.952486856
334,3.879751503,5.17246773,-0.167786122,4.680104329,6.744302175,6.505287394,3.345301127,4.420830719,8.257074477,1.140090861,0.07993654,4.960213331,-0.127885527,-0.182113658,-0.244718187,-0.244707422,-0.203114403,-0.260488652,-0.130857747,-0.107992027,0.701478595,1.602150853,7.948396077
63,-0.297144395,-0.292290792,-0.193360857,-0.366168073,-0.288407544,-0.335266847,-0.302023599,-0.321052359,-0.064505174,-0.346318903,-0.2956137,-0.240139146,-0.281677508,0.968419783,-0.147735837,0.183344677,2.048115106,12.65109086,-0.21969662,-0.211894547,-0.279113119,-0.310143299,7.668114526
128,-0.187330308,-0.18717673,-0.152566634,-0.33150805,-0.297929332,-0.288237607,-0.192928665,-0.287985383,-0.320991545,-0.206582464,-0.111084378,-0.190270272,-0.253159629,-0.209073621,-0.214004403,-0.237918284,-0.252119748,-0.264602927,1.529365984,0.868715713,12.45446247,1.29998476,7.353380704
66,-0.307886087,-0.266557878,-0.190272993,5.506196025,-0.20850606,1.44379532,0.968674809,-0.298847849,-0.255856258,8.110796628,6.280113302,3.374680662,-0.244475113,-0.194692809,4.412916431,-0.191291274,-0.274708713,2.417077684,-0.209961422,-0.014154195,-0.18025251,-0.284129334,6.512787763
258,-0.233219823,-0.204928792,-0.162091511,-0.335452143,-0.262472984,-0.247190772,-0.256953152,-0.30522752,-0.231915062,-0.303734659,-0.238016566,-0.218026354,-0.279737858,-0.129877155,-0.25901697,-0.257996507,-0.196886008,-0.255019491,9.54591727,6.170857881,-0.201337859,-0.253746568,5.953884774
415,-0.275755836,-0.249796689,-0.152785547,-0.313361439,-0.252414181,-0.271766897,-0.206271049,-0.315685306,-0.306240731,-0.349192365,-0.27884084,-0.238358684,-0.236875257,-0.193233698,-0.194822638,-0.183611872,-0.259741363,-0.269796102,8.333209949,7.306657534,-0.233624112,-0.310240388,5.672338732
286,0.542804095,0.573179144,0.050900196,1.680082108,0.126564754,1.355092384,4.953021005,3.225246298,5.88586616,4.506519968,6.581066838,5.681607302,-0.127562823,-0.104440631,-0.215321284,-0.237585361,-0.167486359,-0.15410755,-0.077074211,-0.092894933,-0.14148131,0.038754949,5.657753058
225,-0.312162837,-0.299888802,-0.193536055,1.542326509,-0.237564353,0.333001371,-0.158865089,-0.326758368,-0.327952426,3.282985804,8.007716949,6.934737384,-0.288704399,-0.233547672,-0.271385701,-0.331162484,-0.295813484,-0.298426015,-0.218956231,-0.246487875,-0.312717984,-0.289479323,5.520486576
84,-0.145818312,-0.121268299,-0.087850127,3.832630269,3.951651915,5.117691199,5.165009921,6.538510123,5.179933401,2.260487383,2.081108936,0.695666871,-0.180706958,-0.171617914,-0.245742085,-0.22852288,-0.201362834,-0.245873063,-0.081272719,-0.202963568,-0.029273255,-0.127037197,5.442980362
265,-0.218112509,-0.165183837,-0.097371994,-0.254340734,-0.207125036,-0.209074153,-0.180962604,-0.214901954,-0.295053977,-0.275064609,-0.050995229,-0.05590206,-0.155571899,-0.083843366,7.086153058,-0.286152101,-0.233394314,8.291107134,-0.137312626,-0.193457049,0.342567429,-0.144543332,5.379397912
156,-0.073613617,-0.108325264,-0.12011209,-0.313778561,-0.268158849,-0.264685582,-0.140702617,-0.262764325,-0.261649467,-0.258503757,-0.23448303,-0.08107999,-0.157910888,-0.162987257,10.55467611,-0.221832414,-0.205724736,0.914664673,-0.175203185,-0.217021413,-0.231391383,-0.188594262,5.263542495
211,-0.169372093,-0.131359136,-0.097855415,-0.270360935,-0.223155049,-0.213984878,-0.20920694,-0.211616835,-0.230553557,0.048150252,-0.15412295,-0.169996009,4.929848767,0.167904229,-0.054027986,-0.097377364,-0.147943023,-0.21429042,0.066197159,0.006447733,1.50446704,9.461408525,5.153564504
317,-0.296653356,-0.285353668,-0.161360832,-0.309173731,-0.24501447,-0.259661067,-0.064558108,-0.252007287,-0.210111592,-0.29786981,-0.225351323,-0.134260797,-0.278665587,-0.094117496,4.483570395,-0.273193018,0.271070283,9.47157342,-0.193897465,-0.206051403,-0.064964577,-0.217688291,5.056125953
359,7.014500831,7.595990536,-0.082392493,-0.201545582,-0.281592507,-0.225089538,-0.234161589,-0.278059255,-0.205853553,-0.132367753,-0.232035085,-0.209027077,-0.230713989,-0.226394737,-0.250780364,-0.302327707,-0.271694915,-0.256247664,-0.194641055,-0.234278945,0.013690218,-0.234076867,4.907362031
362,0.131222106,-0.02789675,-0.103033242,-0.264703718,-0.220022318,-0.227652246,-0.197717789,-0.259990823,-0.117167415,0.597422226,-0.220811286,-0.204554348,4.403850321,-0.116536276,-0.165094489,9.281818146,1.831243224,-0.237303678,0.085775361,-0.071473311,-0.128257774,0.071262704,4.813828241
239,-0.232746708,-0.208254999,-0.172141134,2.864559309,-0.074615953,1.952233716,0.497146102,-0.269038989,-0.183487657,5.939565943,4.913074439,6.669826033,-0.228894837,-0.196948485,-0.246547834,-0.300036944,-0.255274408,-0.25352265,-0.208216743,-0.228422384,-0.252195162,-0.212747942,4.763203764
5,-0.070244241,0.568514342,0.130887512,-0.220900596,0.087090928,-0.03270899,-0.148315138,0.015063719,0.131540428,-0.137331899,-0.175687255,-0.189852174,-0.025669415,6.095906826,0.018451306,4.203032581,7.59366408,1.36309742,-0.1123297,-0.136059679,0.088664125,-0.22256985,4.707522194
237,2.94610502,4.390316649,8.716734813,-0.110243633,0.00344819,-0.264821898,-0.315343258,-0.114074764,-0.208030743,-0.349846578,-0.186830418,-0.233486331,-0.276129732,-0.23827395,-0.272996825,-0.169882875,-0.303430102,-0.30338295,-0.207465754,-0.244850883,-0.146096582,-0.232976685,4.693873487
